Name,Position,Minutes,Minutes/Game,Points/32,Assists/32,Rebounds/32,Steals/32,turnsover/32,Fouls/32
"Cody Blakeney - Sr
Cherokee Christian (Woodstock, GA)","F, C",395,18.8,24.1,2.8,10.6,2.4,2.8,2.5
"Tyler Webb - So
Bosqueville (Waco, TX)","PG, SG",573,30.2,24.1,,12.9,,3.0,
"Cole Madeira - Sr
Greater Cabarrus Stallions (Concord, NC)","PG, SG",612,26.6,24.0,4.8,6.4,2.1,5.4,2.7
"L?k Wur - Sr
Papillion-LaVista South (Papillion, NE)",PF,724,27.8,24.0,1.7,11.4,1.2,5.0,3.7
"Walker Kessler - Jr
Woodward Academy (College Park, GA)",F,788,28.1,23.9,2.2,13.5,1.2,4.6,2.4
"Jalen Speer - Jr
P.K. Yonge (Gainesville, FL)","PG, SG",725,26.9,23.8,2.3,4.7,1.9,2.1,3.3
"Love Bettis - Jr
Tate (Cantonment, FL)","PG, SG",803,27.7,23.8,,,,,
"Paul Steikar - Sr
Rudyard (MI)",SG,566,25.7,23.7,2.7,11.5,1.3,4.6,3.4
"Hunter Lane - Jr
Macks Creek (MO)",C,770,28.5,23.7,2.3,16.8,2.7,2.6,3.8
"Tristin Moore - Sr
Silver (Silver City, NM)","PG, SG",800,30.8,23.7,3.5,4.3,1.9,2.0,2.2
"Mason Cunnagin - Jr
Somerset Christian (Somerset, KY)","G, F",708,27.2,23.5,1.9,7.7,2.1,1.9,3.3
"Malik Knight - Sr
Logos Prep Academy (Sugar Land, TX)","SF, SG",578,25.1,23.5,2.1,11.1,3.7,4.7,
"Noah Robinson - Sr
Life Christian Academy (Tacoma, WA)","G, SG",471,21.4,23.5,1.3,7.4,1.7,2.2,1.4
"Xavier Rose - Sr
Highland Christian Academy (Valdosta, GA)",,747,27.7,23.5,7.9,6.6,4.0,1.9,
"Odell Dickerson - Sr
Mt. Hebron (Ellicott City, MD)","SF, PF",652,26.1,23.5,1.4,9.5,1.3,4.2,3.0
"Isaiah Folkes - Jr
Stonewall Jackson (Manassas, VA)","PG, SG",583,29.2,23.4,4.5,8.6,4.6,3.2,2.7
"Noah Johnson - Sr
Front Range Baptist (Fort Collins, CO)","G, PG",508,23.1,23.4,3.8,7.6,3.8,5.8,4.9
"Jackson Greco - Jr
Sequoyah (Canton, GA)","G, F",785,26.2,23.4,2.0,5.5,1.3,3.1,1.7
"Tanner Halling - Jr
St. John (KS)","C, F",484,24.2,23.1,,10.1,,,2.9
"Cornelius Chinn - Sr
Cornerstone Christian (San Angelo, TX)",,706,28.2,23.1,3.3,14.1,1.7,2.9,3.2
"Jonathon Giglio - Sr
Valley Lutheran (Saginaw, MI)","PF, SF",535,24.3,23.0,1.4,11.4,1.5,2.6,3.6
"Lucas Doughtie - Jr
Bethel Assembly Christian Academy (Windsor, NC)",F,449,20.4,23.0,2.2,12.1,2.0,2.4,
"Rafe Kalberloh - So
Lakeland (Deepwater, MO)",,718,23.9,23.0,2.0,8.8,2.1,3.3,2.8
"Rylan Jones - Sr
Olympus (Salt Lake City, UT)",PG,678,29.5,23.0,9.0,8.6,3.2,3.4,1.9
"Yves Bosmans - Jr
Silver Valley (Yermo, CA)","G, F",640,27.8,23.0,3.7,11.4,6.8,4.2,2.0
"Dillon Duff - Jr
Fort Wayne Snider (Fort Wayne, IN)","W, SF",477,23.9,22.9,3.5,8.1,1.9,4.2,3.6
"Ben Bassham - Jr
Lincoln County (Fayetteville, TN)",G,600,20.7,22.7,,5.6,,4.1,
"Burke Nesbit - Sr
Le Sueur-Henderson (Le Sueur, MN)",G,648,28.2,22.7,2.3,2.5,1.9,2.0,2.7
"Robert Whaley - So
Bountiful (UT)",C,552,22.1,22.7,2.6,11.5,2.5,3.7,5.1
"Myles Magee - Jr
Sequoyah (Canton, GA)",G,596,22.1,22.7,3.5,7.4,4.2,3.7,3.7
"Creed Puyear - Sr
Stanton County (Johnson, KS)",F,577,26.2,22.6,2.2,9.3,1.9,3.9,1.4
"Rico Allen - Sr
Jenkins (Savannah, GA)",G,564,23.5,22.6,2.8,7.9,3.6,3.3,0.2
"Richard Manigault - Sr
Phillipsburg (NJ)","SG, PG",782,29.0,22.5,,6.0,,,
Name,none,none,none,none,none,none,none,none,none
"Matthew Truax - Sr
Lincoln (Stockton, CA)",G,401,22.3,22.5,3.7,7.5,,,
"Antonio (tj) Sanchez - Jr
Capital (Santa Fe, NM)",PG,726,26.9,22.5,3.0,7.7,3.3,2.0,1.5
"Blaine Gallegos - Sr
Rio Rancho (NM)",P,686,24.5,22.4,2.2,10.9,1.7,2.6,2.5
"Hunter Bush
Point Pleasant (WV)",,628,27.3,22.4,,,,,
"Luke Wright - Jr
Master's Academy (Vero Beach, FL)","PG, SG",357,21.0,22.3,5.1,10.6,5.4,,3.5
"Dawson Walraven - Sr
Olathe (CO)",,439,22.0,22.3,2.8,14.7,2.8,3.4,3.6
"Ryan Taylor - Sr
Lakeland (Deepwater, MO)",,628,20.9,22.3,1.9,10.3,1.9,3.3,2.9
"Akol Arop - Sr
Creighton Prep (Omaha, NE)","PF, C",755,28.0,22.3,0.7,12.5,0.6,2.2,2.5
"G'angelo Reillo - Sr
Whiting (IN)",G,763,31.8,22.2,5.8,12.4,3.0,,
"Mason Dunlow - Jr
Bethel Assembly Christian Academy (Windsor, NC)","F, C",447,20.3,22.2,2.3,12.3,2.4,2.9,2.9
"Zach Neely - Sr
Immanuel Christian (Ridgecrest, CA)",F,593,31.2,22.1,2.8,11.9,2.7,3.8,2.7
"Brandon Chavarria - Sr
Community Charter (Lakeview Terrace, CA)","G, W",590,21.9,22.0,5.9,12.1,5.2,3.6,
"Wyatt Fabrizio - Sr
Tabiona (UT)","G, F",580,21.5,22.0,3.8,7.3,1.7,2.4,2.9
"Hunter Baker - Sr
Western Grove (AR)","PG, G",973,27.0,21.9,4.7,5.2,3.1,2.6,2.3
"Terrell Williams - Sr
Spanaway Lake (Spanaway, WA)",W,553,24.0,21.9,,7.5,,4.9,
"Isaiah Alsip - Jr
Galion (OH)",SG,676,29.4,21.9,1.6,5.0,2.5,5.0,3.1
"Tyrese Scrulock - Sr
Dunbar (Chicago, IL)",F,650,24.1,21.9,,13.3,,,
"Logan Nusbaum - Jr
Pioneer (Royal Center, IN)",SG,408,19.4,21.8,1.8,,1.7,2.0,2.1
"Tahj Harding - Sr
Newport (KY)","PF, SF",766,23.9,21.8,,12.5,,3.3,
"Jared Clark - Sr
Pusch Ridge Christian Academy (Tucson, AZ)",,860,27.7,21.7,3.9,5.8,,4.5,2.4
"Mason Moore - So
Rowan County (Morehead, KY)","SG, SF",954,29.8,21.7,3.5,8.4,2.1,2.5,
"Zach Banks - Sr
Westfield (IN)",PG,622,27.0,21.7,2.8,3.4,2.2,2.5,2.5
"Bryson Hinson - Sr
Lewis County (Hohenwald, TN)","SG, PG",957,30.9,21.6,3.4,8.1,2.5,2.3,
"Skyler Hice - Jr
Oakman (AL)","G, SG",456,24.0,21.6,,5.4,,,
"Brenden Johnson - Sr
El Dorado (AR)","SG, PG",611,26.6,21.6,4.2,7.4,2.7,1.9,3.2
"Tate Sorgen - So
Melrose (NM)",P,810,25.3,21.5,1.6,16.1,,3.0,
"Kyle Fields - Jr
Trinity Classical Academy (Valencia, CA)",G,578,26.3,21.5,3.9,5.4,1.9,3.3,1.7
"JOSE GONZALEZ - Sr
Prescott (WA)",G,505,26.6,21.5,0.1,,0.0,0.0,0.3
"Jay'Den Turner - Sr
Southwest Guilford (High Point, NC)","F, W",727,22.7,21.4,2.7,8.3,3.5,1.9,2.4
"Adam Sommer - Jr
Parkway South (Manchester, MO)",PG,790,28.2,21.4,,4.6,,,
"Daniel Carr - Sr
Regis Jesuit (Aurora, CO)",C,711,29.6,21.4,1.0,12.3,0.5,1.6,1.4
"Jaylen Patterson - So
Bradshaw Christian (Sacramento, CA)","SF, PG",534,23.2,21.3,4.6,7.7,,,4.3
"Lucas Kroft - Sr
Richmond (IN)",,725,31.5,21.3,3.0,5.3,0.7,3.0,2.4
"Bronnan Higley - Sr
Union City (PA)","C, PF",601,25.0,21.3,1.1,10.8,0.7,1.1,0.0
"Jimmy Veal - Sr
Waco (TX)","PG, SG",708,21.5,21.3,5.7,7.4,4.3,4.2,3.6
"Dalton Thatcher - Sr
Texico (NM)","PG, SG",884,29.5,21.3,3.2,,1.8,1.7,2.6
"Anthony Arrington - Fr
Galloway (Atlanta, GA)",F,697,25.8,21.3,2.9,10.0,,2.5,
"Matthew Leonard - Jr
Tussey Mountain (Saxton, PA)","SF, C",681,29.6,21.2,1.9,4.7,1.4,,1.9
"Logan Owen - So
Belleview Christian (Westminster, CO)",,503,26.5,21.2,1.7,7.7,2.6,,
"Elian Soto - Jr
Jefferson Academy (Broomfield, CO)","SG, PG",665,27.7,21.1,2.4,3.7,3.3,3.5,2.4
"Chris Brooks - Jr
South Range (Canfield, OH)","SF, PF",584,25.4,21.1,1.4,11.3,1.5,2.5,2.1
"Will Riffle - Sr
Amanda-Clearcreek (Amanda, OH)",G,574,23.9,21.1,,11.2,,,
"Carter Marquis - Sr
Krum (TX)",G,793,28.3,21.0,2.4,7.1,2.8,3.3,2.7
"Darrius Kendall - Jr
Rocklin (CA)",PG,754,26.0,21.0,5.7,4.0,3.4,2.6,2.0
"Emmanuel Ige - Sr
Boca Raton Christian (Boca Raton, FL)",SG,751,26.8,21.0,2.2,10.0,2.7,4.9,2.9
"Ahmoni Jones - Sr
Pike (Indianapolis, IN)",SF,617,25.7,21.0,1.6,10.5,1.8,2.0,2.5
"Blake Lacey - Sr
Wahoo (NE)",SG,677,25.1,21.0,,,,,
"Nash Jared - Sr
Escanaba (MI)",F,537,23.3,21.0,2.7,12.9,2.0,3.8,4.2
"Kyle McGraw - Sr
The Nueva School (San Mateo, CA)",,686,25.4,20.9,3.1,11.0,5.6,2.1,2.5
"Curtis Perdue - Sr
Woodland (Stockbridge, GA)","G, F",528,20.3,20.9,,8.1,,,
Name,none,none,none,none,none,none,none,none,none
"Jo Ramey - Sr
El Dorado (AR)","PG, SG",719,27.7,20.9,6.5,6.8,,4.7,2.2
"Carter Ford - Sr
Round Rock (TX)",,995,30.2,20.9,1.2,9.7,1.4,2.7,2.5
"Devion Makres - Sr
Academy of Tucson (Tucson, AZ)",,586,30.8,20.9,0.5,5.9,2.8,0.0,0.8
"Charlie Nylander - Sr
Lansing Catholic (Lansing, MI)",C,406,19.3,20.8,1.5,9.2,1.7,1.8,2.7
"Derek Roberts Jr. - Sr
Oakman (AL)","G, SG",488,25.7,20.8,,7.0,,,
"Jaxon Pollard - Sr
Lone Peak (Highland, UT)",F,553,25.1,20.8,,11.9,,3.9,4.6
"Briggs Ranstrom - Jr
Rocky Mountain (Meridian, ID)","SF, PF",524,22.8,20.8,3.4,6.2,2.0,1.6,3.2
"Philip Polezhako - Sr
Futures (North Highlands, CA)",PG,679,28.3,20.7,5.4,9.0,,,
"Robert Hardy - Sr
Superior Collegiate (Clearwater, FL)",,556,19.2,20.7,1.3,11.5,1.3,2.7,4.1
"Devin Fortune - Sr
Murrieta Mesa (Murrieta, CA)","F, W",655,23.4,20.7,1.7,11.4,2.6,3.7,2.2
"Trey Reid - Jr
Maize South (Wichita, KS)",PG,482,28.4,20.7,2.7,3.5,2.3,2.6,1.6
"Cameron Tweedy - Jr
Westlake (Waldorf, MD)","SF, PF",601,26.1,20.7,1.8,15.9,1.4,4.3,2.3
"Kyle Stivers - Sr
Franklin County (Frankfort, KY)","G, W",791,28.3,20.7,2.4,8.0,2.0,3.3,2.1
"Kael Kordonowy - Sr
Maize South (Wichita, KS)",PF,479,28.2,20.6,2.1,15.6,1.2,3.5,1.4
"Stephen Clark - Sr
Metrolina Christian Academy (Indian Trail, NC)","F, C",826,25.8,20.6,2.8,11.9,0.8,3.3,2.5
"Tanner Ferguson - Sr
Southwestern Randolph (Asheboro, NC)",,744,29.8,20.6,2.7,3.2,1.5,3.0,1.5
"Ramelle Arnold - So
Warrensville Heights (Warrensville, OH)","PG, SG",592,25.7,20.6,4.4,3.2,1.4,3.0,2.0
"Demetrius Conner - Jr
Immanuel Christian (Ridgecrest, CA)",G,571,28.6,20.6,1.8,5.8,2.4,3.0,3.5
"Hunter Sallis - So
Millard North (Omaha, NE)","G, F",681,28.4,20.5,3.1,4.3,1.7,3.1,1.7
"Javonte Lecounte - Sr
Bradwell Institute (Hinesville, GA)","SF, SG",743,27.5,20.5,,11.6,,3.0,
"Jahod Ward - Sr
Christian Academy of Greater St. Louis (St. Louis, MO)",G,778,22.2,20.4,5.4,8.1,5.8,3.2,3.2
"Luke Saenz - Jr
Dimmitt (TX)",SG,648,24.9,20.4,2.3,7.0,1.8,4.7,3.1
"Cole Wireman - So
Kouts (IN)",G,698,26.8,20.4,3.7,3.8,2.5,1.6,2.9
"Zachary Eck - Jr
Ellis (KS)",SG,598,26.0,20.3,2.5,5.7,1.0,2.1,1.4
"Jack Nohava - Sr
Harvest Christian Academy (Elgin, IL)",F,608,25.3,20.3,1.2,9.6,3.2,3.3,3.2
"Tate Johnson - Sr
Metrolina Christian Academy (Indian Trail, NC)","PG, SG",793,26.4,20.3,4.3,,1.2,2.3,1.0
"Joseph Urynowicz - Sr
Rocky Mountain (Fort Collins, CO)","PF, SF",740,29.6,20.2,1.1,8.0,1.2,2.3,2.5
"Max Oles - Jr
Calvary Christian Academy (Ormond Beach, FL)",,459,24.2,20.2,3.3,4.2,2.9,3.1,2.2
"Je'Lani Clark - Jr
Archbishop Riordan (San Francisco, CA)",G,662,24.5,20.2,4.5,7.9,2.7,2.4,2.2
"Bryce Monroe - Jr
Archbishop Riordan (San Francisco, CA)",G,644,28.0,20.2,4.9,3.4,1.0,4.2,2.1
